Critical:	汶	wen4	Aggregate: 7.800656332377784
Both sim:	文	wen2	Score: 77.2404
Ortho sim:	沏	qi1	Score: 58.6073
Phono sim:	吻	wen3	Score: 89.9648
Both diff:	剿	chao1	Score: 78.6869

Critical:	响	xiang3	Aggregate: 8.651642562972896
Both sim:	晌	shang3	Score: 66.3348
Ortho sim:	咦	yi2	Score: 75.4741
Phono sim:	抢	qiang1	Score: 89.6382
Both diff:	区	ou1	Score: 84.7142

Critical:	桔	jie2	Aggregate: 7.222038186931299
Both sim:	格	ge2	Score: 76.2576
Ortho sim:	桉	an1	Score: 62.1545
Phono sim:	攫	jue2	Score: 96.1324
Both diff:	瘾	yin3	Score: 72.8565

Critical:	讽	feng3	Aggregate: 7.710187947420237
Both sim:	访	fang3	Score: 81.5254
Ortho sim:	讶	ya4	Score: 60.2398
Phono sim:	疯	feng1	Score: 92.5345
Both diff:	危	wei1	Score: 77.3939

Critical:	桂	gui4	Aggregate: 7.5959245543951335
Both sim:	桧	gui4	Score: 71.0172
Ortho sim:	桉	an1	Score: 77.1961
Phono sim:	跪	gui4	Score: 100.0
Both diff:	殷	yin1	Score: 74.7506

Critical:	铬	ge4	Aggregate: 6.555190594101102
Both sim:	硌	ge4	Score: 81.6176
Ortho sim:	铵	an3	Score: 60.7077
Phono sim:	刻	ke4	Score: 95.794
Both diff:	猿	yuan2	Score: 73.2103

Critical:	哟	yo1	Aggregate: 8.200388464577301
Both sim:	呦	you1	Score: 69.8777
Ortho sim:	响	xiang3	Score: 63.3537
Phono sim:	摇	yao2	Score: 87.4421
Both diff:	沆	hang4	Score: 78.2405

Critical:	拄	zhu3	Aggregate: 6.927942834883712
Both sim:	抽	chou1	Score: 75.5211
Ortho sim:	拥	yong1	Score: 61.7205
Phono sim:	贮	zhu4	Score: 96.2673
Both diff:	烟	yan1	Score: 71.5066

Critical:	惶	huang2	Aggregate: 7.665555051862891
Both sim:	凰	huang2	Score: 85.7647
Ortho sim:	愕	e4	Score: 65.114
Phono sim:	簧	huang2	Score: 96.3904
Both diff:	亿	yi4	Score: 94.3065

Critical:	砰	peng1	Aggregate: 6.993421007388187
Both sim:	秤	cheng1	Score: 78.905
Ortho sim:	砹	ai4	Score: 59.2523
Phono sim:	平	ping2	Score: 93.4463
Both diff:	臆	yi4	Score: 73.4753

Critical:	渡	du4	Aggregate: 7.013720735258321
Both sim:	滞	zhi4	Score: 72.8617
Ortho sim:	湾	wan1	Score: 66.59
Phono sim:	兔	tu4	Score: 97.9865
Both diff:	莺	ying1	Score: 73.7662

Critical:	沸	fei4	Aggregate: 7.263352970919907
Both sim:	沛	pei4	Score: 65.5443
Ortho sim:	泱	yang1	Score: 71.1352
Phono sim:	费	fei4	Score: 96.4706
Both diff:	翁	weng1	Score: 75.6913

Critical:	倨	ju4	Aggregate: 7.527467946959094
Both sim:	俱	ju4	Score: 79.4118
Ortho sim:	俺	an3	Score: 65.4958
Phono sim:	剧	ju4	Score: 100.0
Both diff:	鸢	yuan1	Score: 77.4453

Critical:	喙	hui4	Aggregate: 8.408562782043608
Both sim:	喹	kui2	Score: 77.8735
Ortho sim:	嘤	ying1	Score: 69.7482
Phono sim:	跪	gui4	Score: 97.7852
Both diff:	珥	er3	Score: 77.0392

Critical:	呗	bai4	Aggregate: 5.671346627736017
Both sim:	吠	fei4	Score: 79.9989
Ortho sim:	听	yin3	Score: 58.97
Phono sim:	派	pai4	Score: 95.1924
Both diff:	匀	yun2	Score: 67.1012

Critical:	央	yang1	Aggregate: 7.608190224570673
Both sim:	泱	yang1	Score: 88.2353
Ortho sim:	拒	ju4	Score: 61.4356
Phono sim:	冤	yuan1	Score: 85.4536
Both diff:	暨	ji4	Score: 87.4019

Critical:	温	wen1	Aggregate: 7.630576801497477
Both sim:	湾	wan1	Score: 74.4372
Ortho sim:	滞	zhi4	Score: 61.2833
Phono sim:	剜	wan1	Score: 93.5548
Both diff:	邵	shao4	Score: 78.5002

Critical:	枝	zhi1	Aggregate: 9.036979995118706
Both sim:	歧	qi2	Score: 79.1986
Ortho sim:	枉	wang3	Score: 66.0457
Phono sim:	値	zhi2	Score: 96.2673
Both diff:	俑	yong3	Score: 80.6233

