		O-P+	乾	qian2	1.955	old variant of 乾[qian2]
		O-P-	逸	yi4	1.998	to escape

沐	mu4	O+P+	汨	mi4	1.779	name of a river, the southern tributary of Miluo river 汨羅江|汨罗江[Mi4 luo2 jiang1]
	to bathe	O+P-	汪	wang1	1.92	surname Wang
		O-P+	木	mu4	2.0	surname Mu
		O-P-	剜	wan1	1.877	to scoop out

耳	er3	O+P+	而	er2	1.918	and
	ear	O+P-	龟	gui1	1.778	tortoise
		O-P+	珥	er3	2.0	pearl or jade earring
		O-P-	刮	gua1	1.879	to scrape

汽	qi4	O+P+	沪	hu4	1.729	short name for Shanghai
	steam	O+P-	汪	wang1	1.976	surname Wang
		O-P+	剂	ji4	1.959	dose (medicine)
		O-P-	秧	yang1	1.909	shoots

艮	gen3	O+P+	臣	chen2	1.763	surname Chen
	blunt	O+P-	衣	yi1	1.900	clothes
		O-P+	龈	ken3	2.0	variant of 啃[ken3]
		O-P-	危	wei1	1.906	surname Wei

脑	nao3	O+P+	恼	nao3	2.0	to get angry
	brain	O+P-	胺	an4	1.564	amine
		O-P+	瑙	nao3	2.0	agate
		O-P-	莺	ying1	2.0	oriole or various birds of the Sylvidae family including warblers

气	qi4	O+P+	汽	qi4	1.92	steam
	gas	O+P-	王	wang2	1.838	surname Wang
		O-P+	悸	ji4	1.922	to palpitate
		O-P-	肮	ang1	1.883	dirty

申	shen1	O+P+	生	sheng1	1.798	to be born
	old name for Shanghai 上海[Shang4 hai3]	O+P-	玉	yu4	1.880	jade
		O-P+	砷	shen1	2.0	arsenic (chemistry)
		O-P-	郁	yu4	1.880	variant of 鬱|郁[yu4]

艹	cao3	O+P+	老	lao3	1.878	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity
	grass radical 草字頭兒|草字头儿[cao3 zi4 tou2 r5]	O+P-	而	er2	1.825	and
		O-P+	藻	zao3	1.935	aquatic grasses
		O-P-	樱	ying1	1.918	cherry

螯	ao2	O+P+	鳌	ao2	2.0	mythological sea turtle
	nippers	O+P-	罄	qing4	1.793	to use up
		O-P+	凹	ao1	1.812	a depression
		O-P-	胸	xiong1	1.950	variant of 胸[xiong1]

柱	zhu4	O+P+	炷	zhu4	2.0	wick of an oil lamp
	pillar	O+P-	枉	wang3	1.759	to twist
		O-P+	述	shu4	1.946	to state
		O-P-	亡	wang2	1.850	to die

田	tian2	O+P+	玄	xuan2	1.798	black
	surname Tian	O+P-	玉	yu4	1.976	jade
		O-P+	怜	lian2	1.801	to pity
		O-P-	郁	yu4	1.976	variant of 鬱|郁[yu4]

十	shi2	O+P+	汁	zhi1	1.863	juice
	ten	O+P-	二	er4	1.809	two
		O-P+	値	zhi2	1.949	variant of 值[zhi2]
		O-P-	漾	yang4	1.929	to overflow

枉	wang3	O+P+	旺	wang4	1.916	prosperous
	to twist	O+P-	析	xi1	1.890	to separate
		O-P+	亡	wang2	1.796	to die
		O-P-	湿	shi1	1.948	variant of 濕|湿[shi1]

几	ji1	O+P+	十	shi2	1.799	ten
	small table	O+P-	二	er4	1.818	two
		O-P+	机	ji1	2.0	surname Ji
		O-P-	漾	yang4	1.932	to overflow

健	jian4	O+P+	倦	juan4	1.958	tired
	healthy	O+P-	倚	yi3	1.634	to lean on
		O-P+	剑	jian4	2.0	double-edged sword
		O-P-	一	yi1	1.956	one

石	shi2	O+P+	矢	shi3	1.914	arrow
	surname Shi	O+P-	汪	wang1	1.914	surname Wang
		O-P+	値	zhi2	1.949	variant of 值[zhi2]
		O-P-	剜	wan1	1.770	to scoop out

注	zhu4	O+P+	泣	qi4	1.731	to sob
	to inject	O+P-	汪	wang1	1.922	surname Wang
		O-P+	贮	zhu4	2.0	to store
		O-P-	剜	wan1	1.893	to scoop out

俭	jian3	O+P+	健	jian4	1.913	healthy
	frugal	O+P-	倚	yi3	1.754	to lean on
		O-P+	碱	jian3	1.927	variant of 鹼|碱[jian3]
		O-P-	一	yi1	1.944	one

惶	huang2	O+P+	凰	huang2	2.0	phoenix
	frightened	O+P-	愕	e4	1.622	startled
		O-P+	簧	huang2	1.916	metallic reed
		O-P-	逸	yi4	1.998	to escape

泱	yang1	O+P+	央	yang1	2.0	center
	agitated (wind, cloud)	O+P-	沸	fei4	1.810	to boil
		O-P+	佯	yang2	1.724	to feign
		O-P-	剂	ji4	2.0	dose (medicine)

日	ri4	O+P+	氏	shi4	1.968	clan name
	abbr. for 日本[Ri4 ben3], Japan	O+P-	王	wang2	1.709	surname Wang
		O-P+	智	zhi4	1.958	wisdom
